long_url,short_url
https://frconor-ebook.github.io/meditations/homilies/our-lady-of-mt-carmel/,https://tinyurl.com/frcmed-mtcarmel-transcript
https://frconor-ebook.github.io/meditations/homilies/our-lady-of-peace/,https://tinyurl.com/frcmed-olp-transcript
https://frconor-ebook.github.io/meditations/homilies/our-lady-of-sorrows/,https://tinyurl.com/frcmed-ols-transcript
https://frconor-ebook.github.io/meditations/homilies/our-lady-the-queen/,https://tinyurl.com/frcmed-olq-transcript
https://frconor-ebook.github.io/meditations/homilies/our-lady-mother-of-mercy/,https://tinyurl.com/frcmed-olmm-transcript
https://frconor-ebook.github.io/meditations/homilies/our-lady-woman-of-the-eucharist/,https://tinyurl.com/frcmed-lady-transcript
https://frconor-ebook.github.io/meditations/homilies/our-ladys-fidelity/,https://tinyurl.com/frcmed-olfsolf-transcript
https://frconor-ebook.github.io/meditations/homilies/our-mother-in-may/,https://tinyurl.com/frcmed-omim-transcript
https://frconor-ebook.github.io/meditations/homilies/our-sins-our-confession/,https://tinyurl.com/frcmed-oursinsissho-transcript
https://frconor-ebook.github.io/meditations/homilies/palm-sunday/,https://tinyurl.com/frcmed-ps-transcript
https://frconor-ebook.github.io/meditations/homilies/parable-of-the-laborers-in-the-vineyard/,https://tinyurl.com/frcmed-laborers-transcript
https://frconor-ebook.github.io/meditations/homilies/parable-of-the-rich-man-and-lazarus/,https://tinyurl.com/frcmed-richman-transcript
https://frconor-ebook.github.io/meditations/homilies/passion-for-unity/,https://tinyurl.com/frcmed-pfu-transcript
https://frconor-ebook.github.io/meditations/homilies/passionately-loving-the-world/,https://tinyurl.com/frcmed-platw-transcript
https://frconor-ebook.github.io/meditations/homilies/patience/,https://tinyurl.com/frcmed-pat-transcript
https://frconor-ebook.github.io/meditations/homilies/patience-in-adversity/,https://tinyurl.com/frcmed-pid-transcript
https://frconor-ebook.github.io/meditations/homilies/pentecost-sunday/,https://tinyurl.com/frcmed-pentsun-transcript
https://frconor-ebook.github.io/meditations/homilies/perseverance/,https://tinyurl.com/frcmed-pers-transcript
https://frconor-ebook.github.io/meditations/homilies/personal-prayer/,https://tinyurl.com/frcmed-pray-transcript
https://frconor-ebook.github.io/meditations/homilies/peter-and-prayer/,https://tinyurl.com/frcmed-pet-transcript
https://frconor-ebook.github.io/meditations/homilies/piety/,https://tinyurl.com/frcmed-pty-transcript
https://frconor-ebook.github.io/meditations/homilies/plan-of-life/,https://tinyurl.com/frcmed-pol-transcript
https://frconor-ebook.github.io/meditations/homilies/poverty-and-detachment/,https://tinyurl.com/frcmed-pad-transcript
https://frconor-ebook.github.io/meditations/homilies/pray-for-the-dead/,https://tinyurl.com/frcmed-pftd-transcript
https://frconor-ebook.github.io/meditations/homilies/prayer-of-petition/,https://tinyurl.com/frcmed-pop-transcript
https://frconor-ebook.github.io/meditations/homilies/preparing-for-retreat/,https://tinyurl.com/frcmed-prep-transcript
https://frconor-ebook.github.io/meditations/homilies/preparing-for-the-jubilee-year-2025/,https://tinyurl.com/frcmed-jubilee-transcript
https://frconor-ebook.github.io/meditations/homilies/preparing-to-receive-jesus/,https://tinyurl.com/frcmed-preptorecvje-transcript
